Blog	web	lol	ryan	de	band	album	jesus	mommy	grant	haha	christ	hannah	data	daddy	lord	pics	james	tour	social	digital	mix	students	china	records	library	thankful	site	english	chinese	pray	damn	record	language	club	content	bus	elder	charlie	war	africa	pages	research	session	darling	search	conference	facebook	omg	difficult	mentioned	released	till	writes	radio	recent	hell	disease	trust	george	bill	review	google	current	grandma	members	president	michael	dj	author	wanna	study	dr	hehe	release	community	sold	color	gifts	davis	design	eventually	technology	suppose	report	university	national	apartment	article	presented	restaurant	honestly	french	challenge	youtube	character	scott	guitar	america	santa	file	previous	west	culture	easter	folks	miles	media	bike	annie	goal	yard	collection	station	issues	copy	south	el	police	sharing	blogs	similar	surgery	blessed	prayer	presentation	aunt	grace	program	software	mama	dont	heat	truck	film	hip	singapore	mood	king	results	training	lights	mail	image	dogs	babies	response	award	hop	machine	government	states	performance	david	flight	action	sea	sale	mission	grateful	bear	speaking	kate	scene	shit	tracks	families	brothers	october	built	crowd	im	links	blogspot	allowed	projects	interest	health	pic	tea	details	race	thanksgiving	concert	practice	camp	issue	purpose	tim	suddenly	events	writer	ball	ha	september	bags	success	candy	build	dropped	crying	york	images	halloween	cheese	common	gorgeous	result	hubby	tickets	ah	figured	malaysia	van	reminded	african	dave	comfortable	san	inspired	literally	million	items	society	org	gotta	river	yummy	football	drew	cross	popular	london	favourite	musical	north	flowers	named	painting	chris	bathroom	]	wide	cost	vacation	paint	expected	resources	nap	points	hall	forgotten	activities	november	source	airport	path	asleep	hearing	holy	huh	mad	comfort	shared	mountain	text	secret	covered	meal	progress	winner	bands	board	access	mess	possibly	shots	january	routine	fully	strength	continued	dan	originally	katie	christian	science	hadn	videos	slightly	reach	include	joined	delicious	lazy	describe	credit	chase	fat	changing	freedom	feelings	falling	lines	chose	accept	provide	checked	teaching	taught	skin	block	discovered	empty	pre	characters	island	kit	slept	classes	buying	visited	label	adventure	studio	jack	notes	tag	hahaha	cd	blast	related	lake	worried	blame	closed	barely	attended	legs	zone	crew	knowledge	quote	html	hill	member	lessons	sigh	teeth	application	manage	marriage	happiness	code	natural	glass	fashion	push	prepared	papers	prayers	extremely	lesson	background	pants	positive	ladies	los	festival	broke	checking	doubt	angry	east	hearts	letters	tend	steps	gold	attempt	rich	effect	thinks	twitter	couch	direction	desire	fans	student	swimming	beer	losing	chair	product	robert	seconds	handle	rules	subject	grade	readers	recorded	sugar	tom	presents	force	grand	friendly	storm	included	teach	schedule	jazz	term	fingers	visiting	joe	audience	returned	scary	oil	goodness	development	press	united	hungry	cousin	agree	county	political	animals	lie	wet	milk	uncle	respect	model	feed	driver	sight	cookies	artist	career	incredible	official	em	ends	passion	pack	mum	classic	shoot	topic	ma	material	hero	tools	traditional	attend	recipe	eve	familiar	bruce	grandpa	ft	cleaning	photography	shouldn	grab	farm	dry	position	fix	stars	department	key	fuck	bath	ass	ben	greatest	plenty	bread	contest	heading	para	dressed	sex	screen	february	lyrics	singer	pair	garage	soft	awhile	answers	laptop	rare	celebration	hmm
My life is no longer my own!	0	8	0	1	0	0	1	0	4	10	1	7	0	1	17	3	8	15	2	0	0	222	5	0	3	25	1	50	13	35	0	2	16	26	2	8	1	0	1	0	2	2	26	1	3	5	6	0	26	12	2	9	1	1	2	2	4	12	0	0	0	0	7	1	32	0	4	1	3	0	7	17	2	3	1	8	0	14	0	2	20	3	0	19	8	14	34	4	3	14	20	0	11	5	11	0	0	0	0	1	11	6	10	3	0	0	1	0	0	0	0	2	5	18	2	2	0	8	7	3	2	5	25	3	1	1	3	0	0	1	0	2	0	0	4	1	12	11	20	7	4	0	2	5	4	5	4	3	3	5	0	20	3	9	6	2	2	5	17	17	11	0	8	0	0	11	7	7	1	8	0	1	3	19	2	8	6	5	9	7	12	0	7	16	13	12	3	0	9	6	1	2	0	4	3	7	0	11	5	7	0	0	0	1	4	4	10	49	12	7	0	17	0	8	1	0	3	0	2	6	2	3	2	0	0	5	1	0	1	2	5	0	3	18	0	2	0	4	11	1	0	3	9	0	1	20	2	7	2	30	7	28	0	2	10	0	5	2	0	1	11	8	3	0	4	4	4	6	6	3	0	10	0	6	0	0	7	9	8	16	5	3	0	0	4	10	0	3	11	3	7	3	6	12	2	4	2	0	0	1	5	8	1	6	9	5	5	53	15	4	3	4	4	7	6	1	0	4	31	3	9	0	4	1	1	4	2	1	1	0	13	0	34	14	3	4	28	4	3	31	9	0	3	2	6	7	32	0	2	20	6	2	0	2	0	1	6	19	22	2	23	11	5	2	15	15	0	0	9	0	5	22	4	8	4	3	8	1	3	2	6	3	1	1	1	7	3	13	10	0	14	2	0	1	2	20	1	5	3	1	0	0	0	1	2	0	6	0	4	29	5	1	3	3	6	0	4	2	10	2	2	5	2	0	3	8	22	0	5	1	6	3	2	2	15	0	1	6	6	1	1	2	0	5	1	4	19	5	41	0	2	2	0	4	0	0	5	24	3	0	6	0	0	0	12	0	1	0	3	2	7	0	2	7	3	0	0	0	6	0	10	4	1	2	0	6	0	1	5	2	4	11	0	0	0	4	5	1	14	0
JEG...The Story Of Us!	0	1	0	4	5	0	1	5	0	10	1	0	0	5	1	25	224	0	0	0	1	11	0	0	0	14	5	0	0	3	0	0	3	2	0	1	0	0	1	14	0	2	2	0	0	1	1	0	0	0	0	1	0	4	1	0	0	1	0	1	0	0	0	0	4	3	6	1	0	0	0	2	1	0	3	4	4	7	0	0	1	0	0	4	4	1	0	0	0	7	2	1	0	1	1	3	0	2	1	0	1	0	1	7	3	2	0	0	0	4	12	2	7	0	0	2	0	1	0	2	0	1	13	5	0	9	1	2	0	1	0	0	1	0	0	0	0	2	0	3	1	0	0	4	2	0	1	0	2	0	3	0	6	4	2	13	3	6	1	3	3	0	1	0	0	9	0	2	4	0	0	1	2	1	1	0	1	6	2	0	8	7	2	1	8	1	1	0	2	1	0	9	1	0	4	2	6	1	1	0	0	0	6	1	0	0	0	1	6	0	3	0	0	1	3	0	1	0	1	1	1	3	0	0	8	2	10	6	2	1	1	0	0	0	3	10	2	8	0	5	0	1	1	1	4	2	0	4	4	2	0	0	1	0	4	1	0	1	0	1	0	1	0	5	0	1	4	0	1	2	1	2	0	0	0	2	2	0	1	8	1	0	0	0	0	0	1	2	0	1	4	0	1	1	0	0	1	0	2	0	0	0	1	3	0	1	6	5	2	0	0	0	0	0	0	13	0	2	5	6	2	0	9	0	1	1	0	0	0	1	0	14	4	0	1	0	0	1	0	2	1	1	1	2	1	0	0	0	0	0	0	0	0	2	0	0	3	0	2	5	1	2	5	0	0	5	0	6	1	8	1	0	1	0	0	1	1	0	4	0	1	1	0	1	0	0	4	2	12	0	0	1	1	3	0	0	0	1	11	0	0	0	0	2	1	0	0	1	1	2	0	0	0	0	9	0	0	1	5	1	1	0	0	3	2	11	3	0	0	2	1	1	2	2	1	0	0	0	0	3	1	0	0	8	0	2	1	4	0	0	2	1	0	0	6	0	3	0	2	3	1	0	4	4	2	3	0	5	0	0	0	0	2	0	1	0	7	0	0	3	1	4	3	6	0	2	0	0	1	0	1	1	0	1	0	0	0	0	6	2
The Sorensen Scoop	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	5	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	1	2	0	2	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conconcito	1	0	1	622	1	11	1	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	1	1	0	1	0	1	0	2	0	5	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	2	3	1	0	0	0	0	1	0	4	0	2	6	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	276	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7	3	0	0	0	5	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	14	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	5	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	151	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	4	0	1	1	0	0	0	0	0	1	0	0	7	0	0	1	1	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	4	0	0	12	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	150	0	0	0	0	6	2	0	0	0	0	0	0	0	1	3
Within the Chronicles' Frame	13	0	0	3	1	21	0	0	0	2	0	0	1	5	15	1	1	9	18	10	1	3	15	2	1	1	5	4	20	8	33	2	2	5	8	25	0	0	10	1	0	2	3	0	10	2	6	1	4	4	2	9	0	4	11	24	0	3	5	0	5	1	8	5	7	2	4	0	1	1	4	5	5	2	10	4	18	0	0	16	18	1	5	2	6	11	2	12	1	34	1	1	3	1	1	1	0	4	2	0	7	7	35	0	3	1	14	8	0	3	2	4	15	3	1	20	0	14	18	1	4	0	7	4	0	0	0	0	0	0	0	7	3	23	3	14	0	11	1	1	8	5	7	3	1	1	1	9	4	44	1	0	5	10	17	33	0	8	4	3	0	0	6	6	2	1	0	12	19	3	0	0	1	4	3	4	8	0	12	8	12	0	0	1	5	11	3	5	2	4	0	1	0	6	0	1	2	8	3	1	2	21	0	1	10	6	7	0	0	0	0	72	3	1	3	0	9	0	7	4	1	5	7	2	6	14	1	11	0	10	3	3	0	2	11	4	9	2	1	1	1	10	14	5	0	3	3	3	2	2	0	9	10	12	17	4	1	0	4	2	2	8	1	18	2	7	8	5	2	6	0	6	4	5	4	29	4	6	4	9	0	11	3	0	0	4	0	0	1	7	2	4	6	3	2	0	0	1	2	31	1	6	0	3	2	2	8	1	1	5	8	2	5	11	0	28	2	3	0	4	1	0	8	3	2	2	1	1	0	1	2	5	0	6	1	9	8	16	15	0	3	4	0	10	1	0	1	0	0	11	1	0	0	15	1	32	5	1	4	2	14	3	0	7	0	3	0	7	4	9	1	1	14	2	0	4	6	9	2	19	2	3	2	1	8	2	6	8	0	7	2	0	0	0	2	1	5	2	1	2	1	9	1	0	5	9	17	7	4	2	0	0	7	6	4	7	2	1	4	3	1	14	8	5	10	3	2	1	18	12	0	15	4	4	6	8	9	5	7	3	1	3	3	4	1	7	9	3	3	22	24	1	1	7	2	4	9	2	1	1	2	1	3	0	4	62	1	8	2	10	5	1	10	1	3	3	2	0	21	2	3	2	3	0	8	0	0	3	5	0	0	7	0	5	8	0	0	16	2	4
Author Jennifer Shirk's Me, My Muse and I	6	80	7	9	10	6	57	12	7	0	48	2	1	3	45	10	14	111	40	11	22	12	5	0	58	4	23	20	3	31	1	10	25	17	4	28	2	0	26	7	40	19	3	1	10	77	70	0	19	30	23	1	28	10	42	8	4	32	2	3	71	11	13	2	22	11	6	0	333	2	10	15	0	65	26	32	43	39	2	1	19	3	3	14	11	19	3	21	7	11	18	5	65	10	130	7	3	31	6	4	8	6	16	29	17	14	28	3	1	74	11	4	6	23	93	9	0	21	28	46	13	3	17	88	4	15	7	16	3	17	0	33	7	7	2	0	102	28	7	15	15	45	9	18	5	9	79	10	7	8	13	2	10	2	15	5	17	13	9	5	35	10	37	1	0	14	13	21	7	12	0	16	16	9	3	16	18	1	39	26	6	30	5	11	7	17	16	0	32	17	191	8	12	23	5	46	20	11	11	5	18	6	19	25	8	11	24	144	2	8	29	0	3	8	0	4	7	8	45	14	17	8	13	3	1	9	10	4	7	12	21	16	3	4	11	16	17	6	5	12	2	11	11	23	8	18	12	7	15	5	9	7	12	6	1	9	3	16	19	41	6	12	12	18	6	37	9	9	86	140	1	23	7	8	9	6	20	128	2	16	7	3	6	34	68	6	18	6	15	11	16	15	11	2	51	11	2	8	16	5	5	13	16	14	12	23	7	12	11	8	6	17	6	7	99	10	2	10	19	11	8	0	6	1	12	16	4	0	4	4	11	1	11	5	14	12	4	10	9	1	6	8	2	6	17	8	21	4	3	9	36	7	3	18	16	8	7	16	5	6	7	7	6	17	5	15	0	0	7	11	12	7	2	11	7	16	12	12	7	18	4	9	64	8	12	20	7	14	4	2	8	21	17	2	14	9	24	17	15	76	1	41	19	7	11	8	9	5	5	14	26	0	12	14	12	4	24	12	15	40	14	4	23	12	9	4	16	3	2	10	24	1	13	12	4	7	8	11	5	35	4	20	9	1	3	8	10	7	3	5	6	17	3	7	119	5	14	14	47	32	12	8	0	3	4	1	12	20	3	9	7	17	9	8	11	0	3	0	4	14	16	9	95	10	0	7	24	13	19	1	3	6	8	6	6	18	32	5	8	19
So What's next then?	4	123	0	7	0	10	0	6	0	0	0	0	0	1	0	0	1	2	1	14	5	2	1	0	13	3	19	1	2	0	10	17	0	1	3	7	0	1	2	0	17	3	2	5	3	1	4	6	4	8	0	3	0	2	17	2	0	1	0	3	0	3	10	0	2	1	0	6	2	0	1	1	0	1	1	10	0	2	0	10	14	6	7	11	5	2	0	1	2	6	0	7	31	7	3	1	1	0	0	6	9	3	0	0	21	5	0	10	3	4	0	5	4	3	14	8	0	0	4	8	8	3	0	0	0	3	1	0	5	0	0	0	0	5	0	0	0	0	6	4	3	6	4	0	2	5	1	2	11	0	1	4	1	0	6	4	10	0	1	5	1	1	2	0	4	0	0	4	5	0	1	11	1	5	1	6	1	0	8	8	6	0	4	2	0	5	1	0	11	1	4	11	5	7	3	1	5	7	6	0	1	3	0	0	0	31	7	33	23	7	3	0	17	2	0	3	8	3	5	2	2	18	0	0	0	2	16	2	0	1	2	7	31	0	5	14	0	12	1	15	0	3	8	0	10	4	0	0	7	11	8	0	5	7	1	4	1	1	0	0	10	1	3	9	14	0	3	18	5	1	0	4	10	1	4	40	7	3	8	1	2	0	6	10	0	2	9	3	20	4	5	13	14	1	6	4	1	0	5	2	1	6	3	16	5	4	3	2	0	1	3	7	2	1	1	2	40	1	6	12	10	1	4	0	2	0	4	0	1	0	5	10	5	3	10	0	1	3	2	0	4	5	0	5	1	0	2	3	2	29	0	0	4	3	11	3	1	0	21	0	2	1	16	0	1	1	0	0	6	1	3	2	0	2	6	7	1	5	12	1	14	8	0	0	3	5	0	1	6	2	5	4	7	0	3	0	3	3	0	1	0	3	0	6	0	2	0	0	4	0	1	0	2	12	11	0	2	10	2	2	4	2	1	0	1	2	4	1	0	0	3	16	1	1	0	1	0	0	3	0	1	4	1	0	3	1	2	11	15	2	5	3	0	8	1	0	6	3	5	1	0	0	0	0	0	23	2	4	2	4	4	3	1	1	6	0	11	0	0	0	13	2	0	5	0	0	3	7	8	0	0	5	11	3	1	5	30	0	0	26
Ruffles & Ridges	1	0	1	0	0	0	0	8	0	2	0	0	0	3	0	0	0	1	4	0	0	7	0	0	0	7	3	1	0	0	2	1	1	0	0	13	0	1	1	0	0	1	0	0	0	0	4	1	10	7	1	0	0	6	2	5	0	5	2	0	1	1	0	2	0	2	0	0	1	1	0	1	0	0	0	0	2	3	2	1	2	1	8	0	0	2	1	3	2	2	14	0	1	0	0	0	0	0	4	1	1	0	0	0	1	1	0	0	0	1	2	0	0	2	2	0	0	0	0	8	1	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	1	0	2	1	0	4	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	2	0	0	1	0	1	2	0	1	0	0	2	0	1	1	0	8	1	0	5	3	1	0	2	1	4	0	0	0	0	0	2	0	0	5	0	3	2	2	1	0	0	1	1	4	4	0	0	1	0	0	2	3	0	4	1	2	0	1	0	0	3	1	6	2	0	1	0	1	1	1	2	0	0	1	0	0	0	0	0	2	0	1	1	0	1	0	11	0	0	1	2	0	3	0	0	1	0	0	3	4	0	1	0	0	0	0	0	1	2	0	1	1	7	1	0	0	1	0	0	1	0	0	2	0	1	2	1	5	3	0	0	0	0	2	2	3	2	1	1	0	1	4	2	0	5	0	1	2	0	0	0	2	1	1	0	0	5	0	0	3	0	1	0	0	0	0	4	6	2	2	0	0	1	0	1	0	0	0	0	3	4	0	0	0	1	6	0	0	5	1	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	1	1	0	0	3	0	1	4	0	1	1	4	6	0	4	0	2	0	5	0	4	0	1	0	0	3	1	1	0	0	2	1	3	0	1	1	1	0	3	0	0	1	4	2	0	4	1	0	0	1	0	1	1	1	1	1	0	0	2	3	0	0	0	1	0	0	0	0	2	0	1	0	1	0	1	4	0	0	1	0	1	0	0	1	0	2	0	0	1	1	0	1	0	2	0	3	1	0	0	1	0	1	0	1	1	0	4	0	2	2	0	0	0	0	1	8	2	0	0	1	2	2	2	0	0	1	0	0	0
secret of my life	0	96	0	2	6	0	0	0	0	61	0	0	2	0	0	11	0	3	1	0	4	1	2	0	12	2	1	5	2	2	41	0	1	5	1	9	0	0	1	0	0	0	1	9	0	0	10	11	0	0	0	2	0	0	0	2	0	2	0	1	1	2	1	1	0	1	0	0	1	21	43	28	58	1	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	11	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	5	0	1	0	0	0	0	0	2	0	0	0	0	1	0	3	0	1	37	1	0	3	0	2	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	5	1	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	84	0	0	0	0	1	3	23	4	1	0	0	2	3	0	2	0	3	8	5	1	1	0	0	3	1	1	0	0	0	1	0	0	5	0	0	1	0	3	6	0	0	2	0	0	0	0	2	0	0	0	0	0	50	0	2	10	0	1	2	1	0	0	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	2	0	0	15	1	3	1	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	102	0	0	0	0	0	0	0	1	0	0	0	8	0	1	0	3	1	0	0	1	0	0	1	0	1	0	0	7	0	0	0	0	2	1	0	4	0	1	0	0	0	0	3	4	0	85	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	1	0	0	1	2	0	2	0	0	1	5	0	0	1	0	0	0	0	0	1	3	0	1	1	1	2	0	1	1	0	0	0	0	1	0	3	0	0	2	0	1	0	0	7	2	1	0	1	1	0	0	1	1	2	0	0	0	10	16	1	1	1	0	0	0	0	3	0	0	1	0	0	2	0	3	7	0	0	2	0	10	0	0	1	0	1	0	1	10	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	0	1	3	1	0	0	1	1	0	0	2	0	0	0	3	0	0	1	1	1	4	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	2	2	1	0	5	1	1	1	0	0	17
The Infernal Journal	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	2	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
